Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Credit
21,female,3,free,NA,NA,1049,18,car (used),0
36,male,3,free,NA,NA,2799,9,others,0
23,female,2,free,little,little,841,12,retraining,0
39,male,2,free,NA,NA,2122,12,others,0
38,male,2,rent,NA,NA,2171,12,others,0
48,male,2,free,NA,NA,2241,10,others,0
39,male,2,rent,NA,NA,3398,8,others,0
40,male,2,rent,NA,NA,1361,6,others,0
65,female,1,rent,NA,rich,1098,18,furniture/equipment,0
23,female,1,free,moderate,little,3758,24,furniture/equipment,0
36,male,3,free,NA,NA,3905,11,others,0
24,male,3,free,little,NA,6187,30,car (new),0
31,female,3,rent,NA,NA,1957,6,furniture/equipment,0
31,male,4,rent,little,little,7582,48,business,0
23,male,2,free,rich,NA,1936,18,furniture/equipment,0
44,male,3,free,moderate,NA,2647,6,furniture/equipment,0
40,male,2,rent,NA,NA,3939,11,others,0
25,male,3,free,moderate,little,3213,18,furniture/equipment,0
36,male,3,rent,NA,little,2337,36,furniture/equipment,0
39,male,2,rent,NA,rich,7228,11,others,0
37,male,3,free,NA,NA,3676,6,others,0
49,male,2,rent,NA,little,3124,12,others,0
33,male,2,free,NA,little,2384,36,domestic appliances,1
26,male,3,rent,NA,little,1424,12,radio/television,0
44,male,2,rent,rich,NA,4716,6,others,0
51,male,3,rent,NA,little,4771,11,furniture/equipment,0
24,female,3,free,NA,NA,652,12,car (used),0
37,male,2,rent,NA,little,1154,9,furniture/equipment,0
29,male,3,rent,rich,rich,3556,15,others,0
56,male,3,own,NA,moderate,4796,42,car (new),0
47,male,3,rent,NA,moderate,3017,30,furniture/equipment,0
37,male,3,rent,NA,rich,3535,36,others,0
34,male,4,rent,NA,rich,6614,36,others,0
28,female,3,rent,moderate,rich,1376,24,furniture/equipment,0
36,male,3,rent,NA,NA,1721,15,others,0
39,female,3,rent,NA,NA,860,6,others,0
38,male,2,rent,NA,rich,1495,12,others,0
26,male,3,rent,NA,rich,1934,12,furniture/equipment,0
31,male,3,rent,rich,rich,3378,18,car (new),0
41,female,4,free,NA,rich,3868,24,car (new),0
23,female,3,rent,rich,rich,996,12,domestic appliances,0
58,female,2,rent,NA,NA,1755,24,business,0
36,female,3,rent,NA,rich,1028,18,others,0
34,male,3,rent,rich,little,2825,24,retraining,0
61,male,3,own,rich,little,1239,18,repairs,0
23,female,3,free,NA,NA,1216,18,others,1
25,male,3,rent,NA,rich,1258,24,retraining,0
30,female,3,rent,little,rich,1864,18,repairs,1
33,male,3,rent,little,rich,1474,24,others,0
26,male,3,rent,little,NA,1382,24,retraining,0
49,male,2,rent,NA,rich,640,12,others,0
23,male,3,rent,NA,moderate,3919,36,furniture/equipment,0
30,male,3,rent,NA,rich,1224,9,others,0
49,male,3,rent,rich,rich,2331,12,furniture/equipment,0
41,male,4,rent,rich,rich,6313,24,car (new),0
58,female,2,rent,NA,NA,385,12,furniture/equipment,0
63,male,2,rent,NA,rich,1655,12,furniture/equipment,0
27,male,3,rent,NA,NA,1053,15,furniture/equipment,0
41,male,3,rent,rich,rich,3160,21,furniture/equipment,0
36,male,3,rent,rich,rich,3079,36,others,0
44,male,3,rent,moderate,rich,1163,12,others,0
29,female,4,rent,NA,rich,2679,24,car (new),0
47,male,3,rent,rich,rich,3578,48,furniture/equipment,0
45,male,3,rent,NA,rich,10875,36,others,0
43,male,2,rent,NA,NA,1344,12,others,0
27,female,3,rent,little,rich,1237,6,furniture/equipment,0
52,male,3,rent,NA,rich,3077,12,furniture/equipment,0
28,male,3,rent,NA,rich,2284,24,furniture/equipment,0
22,female,3,rent,NA,little,1567,12,furniture/equipment,0
60,male,3,own,NA,rich,2032,24,others,0
32,male,3,rent,quite rich,little,2745,21,car (used),0
58,male,3,rent,rich,rich,1867,30,furniture/equipment,0
39,male,3,rent,moderate,rich,2299,36,furniture/equipment,0
31,male,3,rent,rich,rich,929,24,car (used),0
37,male,4,rent,rich,moderate,3399,12,furniture/equipment,0
24,male,3,rent,rich,little,2030,9,car (used),0
36,male,4,rent,NA,rich,3275,21,car (new),0
60,male,3,rent,quite rich,rich,1940,24,others,0
30,male,3,rent,NA,NA,1602,21,others,0
35,male,3,rent,rich,rich,1979,15,furniture/equipment,0
37,female,3,rent,NA,rich,2022,24,others,0
51,male,3,rent,rich,rich,3342,36,furniture/equipment,0
30,male,3,rent,little,little,5866,18,others,0
36,male,3,rent,moderate,moderate,2360,15,car (new),0
63,male,3,rent,rich,rich,1520,15,car (used),0
31,male,3,rent,quite rich,NA,3651,12,others,0
35,male,3,rent,NA,rich,2346,24,car (new),0
34,female,3,rent,NA,rich,4454,36,furniture/equipment,0
39,female,2,rent,quite rich,NA,666,6,others,0
42,female,3,free,rich,little,1965,24,others,0
27,male,3,rent,little,little,1995,12,others,0
25,female,3,rent,rich,little,2991,30,furniture/equipment,0
28,female,3,rent,NA,little,4221,30,retraining,0
59,male,3,rent,NA,NA,1364,9,furniture/equipment,0
41,male,3,rent,NA,little,6361,18,car (used),0
32,male,2,rent,quite rich,rich,4526,27,car (used),0
23,female,2,rent,NA,little,3573,12,furniture/equipment,0
30,male,4,rent,NA,little,4455,36,retraining,1
25,male,3,rent,NA,NA,2136,9,car (used),0
41,female,2,rent,NA,little,5954,42,retraining,0
40,male,3,rent,quite rich,rich,3777,24,car (used),0
22,female,2,rent,NA,NA,806,15,retraining,0
34,male,4,rent,rich,little,4712,24,retraining,0
54,female,3,free,NA,little,7432,36,others,0
33,male,3,rent,NA,rich,1851,24,furniture/equipment,0
31,male,3,rent,NA,rich,1393,24,others,0
29,female,4,rent,NA,rich,1412,12,retraining,0
39,male,3,rent,NA,rich,1473,18,furniture/equipment,0
38,female,3,rent,NA,rich,1533,24,furniture/equipment,0
61,female,3,rent,rich,rich,2012,12,repairs,0
29,female,3,rent,NA,NA,3959,15,others,1
49,female,3,rent,NA,NA,428,6,car (used),0
36,male,4,rent,moderate,little,2366,12,others,0
26,female,3,rent,NA,rich,763,12,car (used),0
35,male,3,rent,rich,little,3976,21,car (used),0
28,male,2,free,NA,little,6260,18,others,0
35,male,3,free,NA,little,1919,9,car (used),0
28,female,3,free,quite rich,rich,2603,24,car (new),0
52,male,3,rent,moderate,rich,936,9,repairs,0
32,male,3,free,moderate,rich,3062,24,car (used),0
30,female,4,rent,NA,little,4795,36,furniture/equipment,0
35,male,3,rent,NA,rich,5842,36,car (new),0
30,male,4,free,NA,little,2063,6,furniture/equipment,0
43,female,2,rent,NA,rich,1459,15,furniture/equipment,0
47,male,3,rent,moderate,rich,1213,15,furniture/equipment,0
47,male,3,own,NA,rich,5103,24,furniture/equipment,0
24,female,3,rent,rich,rich,874,15,radio/television,0
32,male,3,rent,moderate,rich,2978,6,car (used),0
30,male,4,rent,NA,rich,1820,18,others,0
36,male,3,rent,little,rich,2872,24,furniture/equipment,0
26,male,3,rent,NA,moderate,1925,24,car (used),0
43,male,3,rent,NA,rich,2515,18,car (used),0
41,male,3,rent,NA,moderate,2116,6,car (used),0
26,female,3,rent,NA,rich,1453,18,furniture/equipment,0
64,female,3,rent,NA,rich,1364,10,others,0
33,male,3,rent,quite rich,rich,1543,6,car (used),0
54,male,3,rent,quite rich,little,1318,12,others,0
32,male,3,rent,little,NA,2325,24,others,0
39,female,2,rent,rich,little,932,6,vacation,0
31,male,3,rent,rich,moderate,3148,24,furniture/equipment,0
45,female,2,rent,rich,rich,3835,36,furniture/equipment,0
64,male,2,rent,rich,rich,3832,9,repairs,0
42,female,3,rent,rich,little,5084,24,furniture/equipment,0
31,male,4,rent,NA,rich,2406,9,car (used),0
25,female,3,rent,rich,rich,2394,36,furniture/equipment,0
46,male,4,rent,rich,rich,2476,21,car (new),0
49,male,3,own,rich,NA,2964,24,car (new),0
49,male,2,rent,rich,NA,1262,12,car (used),0
36,male,3,rent,NA,rich,1542,12,retraining,0
48,male,2,rent,NA,little,1743,24,furniture/equipment,0
42,female,3,free,quite rich,moderate,409,12,furniture/equipment,0
29,female,3,rent,NA,rich,2171,12,furniture/equipment,0
35,male,3,own,rich,rich,8858,48,car (new),0
38,male,3,rent,little,little,3512,24,others,0
26,male,3,rent,moderate,little,1158,12,furniture/equipment,0
35,male,2,rent,NA,rich,2684,24,furniture/equipment,0
23,female,3,rent,NA,NA,1498,12,furniture/equipment,0
38,male,3,rent,NA,rich,5954,30,furniture/equipment,0
59,female,3,free,NA,little,6416,48,retraining,1
28,male,3,free,NA,little,3617,12,car (used),0
35,female,3,rent,NA,rich,1291,12,furniture/equipment,0
36,male,3,rent,quite rich,moderate,1275,24,retraining,0
25,female,3,free,NA,rich,3972,24,car (used),0
28,male,3,own,NA,rich,3343,15,car (used),0
23,female,3,free,NA,moderate,392,15,repairs,0
48,male,3,rent,NA,rich,2134,9,others,0
25,female,3,rent,NA,rich,5771,30,furniture/equipment,0
74,male,4,rent,NA,rich,4526,24,retraining,0
24,female,3,rent,NA,rich,2788,15,car (used),0
28,female,3,rent,NA,rich,1382,6,furniture/equipment,0
24,male,3,rent,NA,moderate,5848,36,furniture/equipment,0
24,female,2,rent,NA,NA,1228,12,others,1
23,male,3,free,NA,moderate,1297,12,furniture/equipment,0
32,male,3,rent,NA,rich,1552,24,furniture/equipment,0
31,male,4,free,NA,rich,1963,12,furniture/equipment,0
36,male,4,rent,moderate,rich,3235,24,furniture/equipment,0
27,male,2,rent,little,rich,4139,24,retraining,0
44,male,3,rent,little,little,1804,12,car (new),0
34,male,3,rent,NA,rich,1950,18,retraining,0
37,male,4,rent,moderate,rich,12749,48,furniture/equipment,0
23,female,3,free,NA,rich,1236,9,radio/television,0
30,female,3,rent,NA,rich,1055,18,others,0
25,male,3,rent,rich,NA,8072,30,retraining,0
33,female,3,rent,NA,rich,2831,30,furniture/equipment,0
27,female,3,rent,NA,rich,1449,9,retraining,0
31,male,3,rent,little,rich,5742,36,retraining,0
50,male,3,rent,rich,rich,2390,12,others,0
31,male,3,rent,moderate,rich,3430,24,furniture/equipment,0
32,male,3,rent,NA,little,2273,36,repairs,0
28,female,4,rent,little,moderate,2923,21,others,0
29,male,4,free,little,rich,1901,24,furniture/equipment,0
27,male,3,rent,rich,little,3711,36,repairs,0
24,female,3,rent,rich,little,8487,48,others,0
54,male,3,rent,rich,rich,2255,24,others,0
25,male,3,rent,NA,rich,1262,12,furniture/equipment,0
35,male,4,rent,NA,rich,7253,33,car (new),0
45,male,4,rent,NA,rich,6761,6,others,0
28,female,3,rent,NA,rich,1817,18,car (used),0
35,male,3,rent,little,rich,2141,12,furniture/equipment,0
27,female,3,rent,NA,rich,3609,48,retraining,0
30,male,4,rent,moderate,rich,2333,30,furniture/equipment,0
40,male,3,free,rich,rich,7824,28,car (new),0
49,male,2,rent,rich,moderate,1445,18,furniture/equipment,0
30,female,3,rent,rich,NA,7721,24,car (used),0
24,male,2,rent,rich,NA,3763,21,others,0
33,male,4,rent,NA,little,4439,18,retraining,0
20,male,4,free,NA,NA,1107,12,furniture/equipment,0
23,male,3,rent,rich,little,1444,15,furniture/equipment,0
36,male,4,own,rich,little,12169,48,others,0
35,male,3,rent,little,rich,2753,9,furniture/equipment,0
29,male,2,rent,rich,moderate,1494,4,others,0
22,male,3,rent,moderate,NA,2828,24,car (used),0
22,male,3,rent,moderate,NA,2483,24,car (used),0
74,male,1,rent,NA,moderate,1299,6,others,0
35,male,1,rent,rich,little,1549,9,others,0
37,male,2,rent,NA,moderate,3949,10,others,0
31,female,3,free,rich,rich,2901,10,car (new),0
27,male,1,rent,quite rich,moderate,709,6,others,0
35,female,2,rent,NA,NA,10722,47,others,0
45,male,2,rent,rich,rich,1287,10,others,0
36,male,4,own,NA,NA,1940,18,furniture/equipment,0
49,male,2,rent,rich,moderate,3656,30,furniture/equipment,0
35,male,2,rent,NA,rich,4679,24,car (new),0
27,male,3,rent,quite rich,rich,8613,27,car (new),0
28,male,3,rent,quite rich,NA,2659,18,car (used),0
43,female,2,rent,quite rich,rich,1516,24,furniture/equipment,0
35,male,2,rent,little,NA,4380,18,others,0
27,male,2,rent,NA,rich,802,14,others,0
36,female,2,rent,quite rich,rich,1572,21,retraining,0
30,male,3,rent,little,little,3566,48,retraining,0
36,male,4,rent,NA,rich,1278,24,furniture/equipment,0
39,male,2,rent,NA,rich,426,6,furniture/equipment,0
45,male,4,rent,little,rich,8588,39,car (new),0
40,male,4,rent,NA,NA,3857,30,car (new),0
25,male,2,rent,NA,little,685,12,others,1
55,female,3,rent,NA,NA,1603,24,furniture/equipment,0
50,male,3,rent,NA,rich,2241,21,car (used),0
64,male,2,free,NA,NA,2384,24,furniture/equipment,0
23,female,2,free,NA,rich,601,4,car (used),0
24,male,3,rent,moderate,rich,2569,39,car (new),0
47,male,2,rent,moderate,rich,1316,15,furniture/equipment,0
42,male,4,rent,NA,rich,10366,60,others,0
24,female,2,free,little,rich,1568,18,retraining,0
32,male,4,rent,moderate,rich,629,18,furniture/equipment,0
45,male,2,rent,moderate,rich,1750,6,furniture/equipment,0
23,female,3,rent,little,rich,3488,24,car (new),0
24,male,3,rent,NA,rich,1800,18,furniture/equipment,0
35,male,3,rent,little,rich,4151,24,car (used),0
25,female,2,rent,little,little,2631,15,domestic appliances,0
26,male,3,rent,rich,rich,5248,21,car (new),0
43,male,3,rent,rich,little,2899,18,others,0
44,male,2,rent,NA,little,6204,18,domestic appliances,0
38,male,3,rent,NA,rich,804,12,furniture/equipment,0
28,male,3,rent,NA,rich,3595,36,furniture/equipment,0
38,male,4,rent,quite rich,rich,5711,36,car (new),0
26,male,3,free,NA,moderate,2687,15,retraining,0
27,female,2,rent,NA,NA,3643,15,car (used),0
23,female,3,free,NA,rich,2146,10,car (used),0
52,male,2,rent,NA,NA,2315,10,furniture/equipment,0
74,male,2,rent,NA,rich,3448,5,retraining,0
27,male,2,rent,NA,rich,2708,15,car (used),0
35,female,4,rent,NA,rich,1393,11,others,0
23,female,3,rent,NA,moderate,1275,10,car (used),0
20,male,3,rent,NA,rich,1313,9,car (used),0
34,female,3,rent,NA,rich,1493,12,furniture/equipment,0
40,male,3,rent,moderate,rich,2675,22,furniture/equipment,0
37,male,2,rent,NA,little,2118,9,furniture/equipment,0
36,male,3,rent,moderate,rich,909,36,others,0
22,female,2,free,NA,rich,1258,12,car (used),0
34,male,2,rent,little,rich,1569,15,furniture/equipment,0
50,male,3,free,moderate,rich,1236,6,car (new),0
40,female,3,rent,moderate,rich,7678,36,car (used),0
23,male,2,free,moderate,rich,660,6,domestic appliances,0
53,male,3,rent,moderate,rich,2835,24,car (used),0
35,male,4,rent,NA,rich,2670,24,car (new),0
35,female,2,rent,moderate,rich,3447,12,vacation,0
54,female,4,free,NA,rich,3568,15,furniture/equipment,0
27,male,3,rent,NA,little,3652,21,retraining,0
28,female,3,rent,NA,NA,3660,24,furniture/equipment,0
